id;data;qtd
1;2016-01-31;303836828
2;2016-02-29;305828523
3;2016-03-31;345481507
4;2016-04-30;335871285
5;2016-05-31;356812410
6;2016-06-30;362284391
7;2016-07-31;370647365
8;2016-08-31;403314945
9;2016-09-30;399100689
10;2016-10-31;412038317
11;2016-11-30;423564644
12;2016-12-31;455920964
13;2017-01-31;466109462
14;2017-02-28;417806211
15;2017-03-31;545264800
16;2017-04-30;531220310
17;2017-05-31;616039992
18;2017-06-30;612760240
19;2017-07-31;677296241
20;2017-08-31;710661248
21;2017-09-30;675008569
22;2017-10-31;733071699
23;2017-11-30;693254696
24;2017-12-31;776838295
25;2018-01-31;829565489
26;2018-02-28;635291958
27;2018-03-31;664857615
28;2018-04-30;676157239
29;2018-05-31;723450000
30;2018-06-30;736915657
31;2018-07-31;756441833
32;2018-08-31;833319778
33;2018-09-30;735864912
34;2018-10-31;754437257
35;2018-11-30;753085525
36;2018-12-31;766755122
37;2019-01-31;828355205
38;2019-02-28;791600844
39;2019-03-31;825473605
40;2019-04-30;897052141
41;2019-05-31;959008481
42;2019-06-30;848482786
43;2019-07-31;984075401
