id;data;qtd
1;2016-01-01;626097
2;2016-01-02;1044122
3;2016-01-03;815159
4;2016-01-04;7621417
5;2016-01-05;6733883
6;2016-01-06;6022390
7;2016-01-07;6358450
8;2016-01-08;6138214
9;2016-01-09;1508445
10;2016-01-10;776591
11;2016-01-11;7989132
12;2016-01-12;6058523
13;2016-01-13;5720504
14;2016-01-14;5421265
15;2016-01-15;6163340
16;2016-01-16;1299958
17;2016-01-17;674525
18;2016-01-18;6588501
19;2016-01-19;5667314
20;2016-01-20;5976494
21;2016-01-21;5343036
22;2016-01-22;5182414
23;2016-01-23;1266481
24;2016-01-24;641029
25;2016-01-25;6235083
26;2016-01-26;5351875
27;2016-01-27;5113730
28;2016-01-28;4982030
29;2016-01-29;5757998
30;2016-01-30;1424708
31;2016-01-31;757703
32;2016-02-01;7017729
33;2016-02-02;5949855
34;2016-02-03;5778037
35;2016-02-04;5847157
36;2016-02-05;7949987
37;2016-02-06;1533485
38;2016-02-07;567002
39;2016-02-08;1488832
40;2016-02-09;976111
41;2016-02-10;7981240
42;2016-02-11;6858942
43;2016-02-12;6358441
44;2016-02-13;1490660
45;2016-02-14;666436
46;2016-02-15;7619185
47;2016-02-16;6001209
48;2016-02-17;5545200
49;2016-02-18;5383806
50;2016-02-19;6045619
51;2016-02-20;1520171
52;2016-02-21;401749
53;2016-02-22;7061153
54;2016-02-23;5506761
55;2016-02-24;5285835
56;2016-02-25;5499527
57;2016-02-26;5561327
58;2016-02-27;1440622
59;2016-02-28;778686
60;2016-02-29;7287893
61;2016-03-01;6641859
62;2016-03-02;6180421
63;2016-03-03;6062600
64;2016-03-04;6792923
65;2016-03-05;1763097
66;2016-03-06;797243
67;2016-03-07;8225916
68;2016-03-08;6237515
69;2016-03-09;5884068
70;2016-03-10;6656444
71;2016-03-11;5942245
72;2016-03-12;915684
73;2016-03-13;558201
74;2016-03-14;6827216
75;2016-03-15;6664226
76;2016-03-16;5736911
77;2016-03-17;5425882
78;2016-03-18;6097821
79;2016-03-19;1425201
80;2016-03-20;790606
81;2016-03-21;7650902
82;2016-03-22;5861874
83;2016-03-23;5703947
84;2016-03-24;5294970
85;2016-03-25;858650
86;2016-03-26;1091864
87;2016-03-27;662303
88;2016-03-28;7055853
89;2016-03-29;5669180
90;2016-03-30;5807243
91;2016-03-31;6242557
92;2016-04-01;6695582
93;2016-04-02;1578178
94;2016-04-03;843790
95;2016-04-04;7457785
96;2016-04-05;7208468
97;2016-04-06;7050209
98;2016-04-07;7037883
99;2016-04-08;6468245
100;2016-04-09;1674662
101;2016-04-10;882390
102;2016-04-11;8396883
103;2016-04-12;6402755
104;2016-04-13;5852853
105;2016-04-14;5656171
106;2016-04-15;6554605
107;2016-04-16;1459237
108;2016-04-17;713267
109;2016-04-18;6901605
110;2016-04-19;6059109
111;2016-04-20;7151124
112;2016-04-21;1263012
113;2016-04-22;5516599
114;2016-04-23;1361004
115;2016-04-24;793022
116;2016-04-25;7541376
117;2016-04-26;5843034
118;2016-04-27;5589468
119;2016-04-28;5495561
120;2016-04-29;6571185
121;2016-04-30;1650777
122;2016-05-01;917291
123;2016-05-02;7892111
124;2016-05-03;6756932
125;2016-05-04;6364385
126;2016-05-05;6981289
127;2016-05-06;7677739
128;2016-05-07;1832683
129;2016-05-08;849652
130;2016-05-09;7885855
131;2016-05-10;7696427
132;2016-05-11;6417731
133;2016-05-12;5947296
134;2016-05-13;6102738
135;2016-05-14;1568434
136;2016-05-15;839950
137;2016-05-16;8159136
138;2016-05-17;6103596
139;2016-05-18;5775325
140;2016-05-19;5589413
141;2016-05-20;6983687
142;2016-05-21;1537200
143;2016-05-22;840216
144;2016-05-23;6809721
145;2016-05-24;5603092
146;2016-05-25;6202634
147;2016-05-26;1193454
148;2016-05-27;5683604
149;2016-05-28;1454603
150;2016-05-29;888717
151;2016-05-30;7337345
152;2016-05-31;6680000
153;2016-06-01;6865832
154;2016-06-02;6375278
155;2016-06-03;6752929
156;2016-06-04;1864016
157;2016-06-05;962168
158;2016-06-06;8637719
159;2016-06-07;7687759
160;2016-06-08;6534334
161;2016-06-09;6048791
162;2016-06-10;7163422
163;2016-06-11;1643093
164;2016-06-12;815516
165;2016-06-13;7004603
166;2016-06-14;6415476
167;2016-06-15;6886485
168;2016-06-16;5889579
169;2016-06-17;6026715
170;2016-06-18;1537654
171;2016-06-19;849228
172;2016-06-20;8260657
173;2016-06-21;6143762
174;2016-06-22;5759676
175;2016-06-23;5427205
176;2016-06-24;5389229
177;2016-06-25;1437889
178;2016-06-26;797303
179;2016-06-27;6930545
180;2016-06-28;5846878
181;2016-06-29;5586713
182;2016-06-30;6648658
183;2016-07-01;7035396
184;2016-07-02;1708358
185;2016-07-03;937833
186;2016-07-04;8011163
187;2016-07-05;7525288
188;2016-07-06;7647868
189;2016-07-07;7473708
190;2016-07-08;6990172
191;2016-07-09;1688441
192;2016-07-10;959364
193;2016-07-11;8862383
194;2016-07-12;6740901
195;2016-07-13;6210992
196;2016-07-14;5896558
197;2016-07-15;6990706
198;2016-07-16;1570308
199;2016-07-17;825679
200;2016-07-18;7136511
201;2016-07-19;6216933
202;2016-07-20;7153691
203;2016-07-21;5736025
204;2016-07-22;5794960
205;2016-07-23;1494778
206;2016-07-24;833698
207;2016-07-25;6891331
208;2016-07-26;5850451
209;2016-07-27;5846397
210;2016-07-28;5741566
211;2016-07-29;6543546
212;2016-07-30;1731383
213;2016-07-31;954178
214;2016-08-01;8331219
215;2016-08-02;6979401
216;2016-08-03;6775555
217;2016-08-04;6694572
218;2016-08-05;8536231
219;2016-08-06;1947929
220;2016-08-07;1042028
221;2016-08-08;8487584
222;2016-08-09;7031284
223;2016-08-10;7763457
224;2016-08-11;6589607
225;2016-08-12;6542732
226;2016-08-13;1668111
227;2016-08-14;831646
228;2016-08-15;7295914
229;2016-08-16;6714307
230;2016-08-17;6079215
231;2016-08-18;5967079
232;2016-08-19;6631219
233;2016-08-20;1612212
234;2016-08-21;865655
235;2016-08-22;7685858
236;2016-08-23;6190450
237;2016-08-24;5915021
238;2016-08-25;6068023
239;2016-08-26;5946322
240;2016-08-27;1531134
241;2016-08-28;860708
242;2016-08-29;6981137
243;2016-08-30;6445971
244;2016-08-31;6603170
245;2016-09-01;7224280
246;2016-09-02;7061030
247;2016-09-03;1833681
248;2016-09-04;1021376
249;2016-09-05;9050621
250;2016-09-06;8697934
251;2016-09-07;1726726
252;2016-09-08;8106237
253;2016-09-09;7686600
254;2016-09-10;1860394
255;2016-09-11;1042415
256;2016-09-12;9668142
257;2016-09-13;7292358
258;2016-09-14;6984273
259;2016-09-15;7517279
260;2016-09-16;6718214
261;2016-09-17;1666639
262;2016-09-18;915500
263;2016-09-19;8044639
264;2016-09-20;8113569
265;2016-09-21;6630192
266;2016-09-22;6296529
267;2016-09-23;6329867
268;2016-09-24;1589425
269;2016-09-25;898386
270;2016-09-26;7687038
271;2016-09-27;6514274
272;2016-09-28;6328730
273;2016-09-29;6179058
274;2016-09-30;5139888
275;2016-10-01;2064645
276;2016-10-02;782470
277;2016-10-03;9111870
278;2016-10-04;7851833
279;2016-10-05;8427742
280;2016-10-06;8310624
281;2016-10-07;8675840
282;2016-10-08;2016962
283;2016-10-09;1004651
284;2016-10-10;10571779
285;2016-10-11;8093163
286;2016-10-12;1484444
287;2016-10-13;7670113
288;2016-10-14;7220626
289;2016-10-15;1825981
290;2016-10-16;999649
291;2016-10-17;8779104
292;2016-10-18;7084987
293;2016-10-19;6794927
294;2016-10-20;7801055
295;2016-10-21;6604774
296;2016-10-22;1709675
297;2016-10-23;925051
298;2016-10-24;7403560
299;2016-10-25;6959613
300;2016-10-26;6323092
301;2016-10-27;6206838
302;2016-10-28;6403803
303;2016-10-29;1703600
304;2016-10-30;775739
305;2016-10-31;8054219
306;2016-11-01;7893302
307;2016-11-02;1728911
308;2016-11-03;8082210
309;2016-11-04;8092867
310;2016-11-05;2208761
311;2016-11-06;1192953
312;2016-11-07;10335073
313;2016-11-08;8240018
314;2016-11-09;7412879
315;2016-11-10;8375525
316;2016-11-11;7626211
317;2016-11-12;2132031
318;2016-11-13;909374
319;2016-11-14;7704994
320;2016-11-15;1745941
321;2016-11-16;8725388
322;2016-11-17;7292949
323;2016-11-18;7647560
324;2016-11-19;1953348
325;2016-11-20;1164932
326;2016-11-21;9161216
327;2016-11-22;7123872
328;2016-11-23;6634776
329;2016-11-24;6472359
330;2016-11-25;7260967
331;2016-11-26;1854216
332;2016-11-27;1065787
333;2016-11-28;8018545
334;2016-11-29;6872467
335;2016-11-30;8392235
336;2016-12-01;8262343
337;2016-12-02;7915010
338;2016-12-03;2109615
339;2016-12-04;1235099
340;2016-12-05;9726354
341;2016-12-06;8857522
342;2016-12-07;8817390
343;2016-12-08;6656020
344;2016-12-09;6986450
345;2016-12-10;2136727
346;2016-12-11;1228925
347;2016-12-12;9888297
348;2016-12-13;7680608
349;2016-12-14;7433313
350;2016-12-15;8125618
351;2016-12-16;7688629
352;2016-12-17;2082147
353;2016-12-18;1189171
354;2016-12-19;9166043
355;2016-12-20;10142774
356;2016-12-21;8016150
357;2016-12-22;7491851
358;2016-12-23;7023192
359;2016-12-24;1756574
360;2016-12-25;812338
361;2016-12-26;7271912
362;2016-12-27;6411851
363;2016-12-28;6506719
364;2016-12-29;7038987
365;2016-12-30;3694669
366;2016-12-31;1568903
367;2017-01-01;921795
368;2017-01-02;8323948
369;2017-01-03;7977983
370;2017-01-04;7393318
371;2017-01-05;8018534
372;2017-01-06;8912834
373;2017-01-07;2305728
374;2017-01-08;1231237
375;2017-01-09;10004287
376;2017-01-10;9514197
377;2017-01-11;8124440
378;2017-01-12;7391314
379;2017-01-13;7824185
380;2017-01-14;2014184
381;2017-01-15;1147974
382;2017-01-16;9233440
383;2017-01-17;7380467
384;2017-01-18;7020829
385;2017-01-19;6900517
386;2017-01-20;7805399
387;2017-01-21;1943248
388;2017-01-22;1066573
389;2017-01-23;8207559
390;2017-01-24;7120844
391;2017-01-25;7140965
392;2017-01-26;6640816
393;2017-01-27;6845882
394;2017-01-28;1888129
395;2017-01-29;1093921
396;2017-01-30;8296431
397;2017-01-31;8012432
398;2017-02-01;8067295
399;2017-02-02;7496950
400;2017-02-03;7963758
401;2017-02-04;2258981
402;2017-02-05;1251259
403;2017-02-06;9918193
404;2017-02-07;9035797
405;2017-02-08;7730929
406;2017-02-09;7760597
407;2017-02-10;8778717
408;2017-02-11;2136421
409;2017-02-12;1202257
410;2017-02-13;9268000
411;2017-02-14;7800644
412;2017-02-15;8352104
413;2017-02-16;7259539
414;2017-02-17;7404681
415;2017-02-18;2066206
416;2017-02-19;1207146
417;2017-02-20;10351596
418;2017-02-21;7929568
419;2017-02-22;7493580
420;2017-02-23;7399962
421;2017-02-24;8546390
422;2017-02-25;1989663
423;2017-02-26;904188
424;2017-02-27;2133479
425;2017-02-28;1525684
426;2017-03-01;10019805
427;2017-03-02;9525080
428;2017-03-03;9308444
429;2017-03-04;2559148
430;2017-03-05;1436766
431;2017-03-06;11250046
432;2017-03-07;9977586
433;2017-03-08;8973774
434;2017-03-09;8295916
435;2017-03-10;9779267
436;2017-03-11;2300603
437;2017-03-12;1237703
438;2017-03-13;10013172
439;2017-03-14;8419529
440;2017-03-15;9101878
441;2017-03-16;7844587
442;2017-03-17;4887427
443;2017-03-18;1463826
444;2017-03-19;1055922
445;2017-03-20;9112262
446;2017-03-21;8164988
447;2017-03-22;7896764
448;2017-03-23;7675448
449;2017-03-24;7597392
450;2017-03-25;2047319
451;2017-03-26;1182819
452;2017-03-27;8893905
453;2017-03-28;7433388
454;2017-03-29;7296003
455;2017-03-30;7607408
456;2017-03-31;8511748
457;2017-04-01;2492762
458;2017-04-02;1418723
459;2017-04-03;10741415
460;2017-04-04;9233408
461;2017-04-05;10327472
462;2017-04-06;10345531
463;2017-04-07;10763124
464;2017-04-08;2513268
465;2017-04-09;1466731
466;2017-04-10;12979854
467;2017-04-11;9821337
468;2017-04-12;9172956
469;2017-04-13;8425948
470;2017-04-14;1491012
471;2017-04-15;1844201
472;2017-04-16;1183407
473;2017-04-17;11624554
474;2017-04-18;8972857
475;2017-04-19;8738331
476;2017-04-20;10410149
477;2017-04-21;1871321
478;2017-04-22;1914494
479;2017-04-23;1218797
480;2017-04-24;10413589
481;2017-04-25;9325260
482;2017-04-26;8463173
483;2017-04-27;8561517
484;2017-04-28;9203017
485;2017-04-29;2227634
486;2017-04-30;1068242
487;2017-05-01;1897589
488;2017-05-02;12151904
489;2017-05-03;10146768
490;2017-05-04;9634207
491;2017-05-05;11689199
492;2017-05-06;2742886
493;2017-05-07;1289440
494;2017-05-08;11725252
495;2017-05-09;9780715
496;2017-05-10;10712579
497;2017-05-11;9067317
498;2017-05-12;8806965
499;2017-05-13;2284740
