id;data;qtd
1;2014-06-01;914608
2;2014-06-02;11256628
3;2014-06-03;9321025
4;2014-06-04;8933395
5;2014-06-05;10031023
6;2014-06-06;11350673
7;2014-06-07;1813088
8;2014-06-08;924436
9;2014-06-09;12572627
10;2014-06-10;11274298
11;2014-06-11;9303635
12;2014-06-12;6653140
13;2014-06-13;8465192
14;2014-06-14;1593758
15;2014-06-15;870611
16;2014-06-16;11854743
17;2014-06-17;7260777
18;2014-06-18;9232306
19;2014-06-19;1311980
20;2014-06-20;10755742
21;2014-06-21;1602130
22;2014-06-22;847485
23;2014-06-23;8930797
24;2014-06-24;8569647
25;2014-06-25;9678288
26;2014-06-26;8541979
27;2014-06-27;8895660
28;2014-06-28;1353239
29;2014-06-29;873214
30;2014-06-30;11992292
31;2014-07-01;9958132
32;2014-07-02;9373877
33;2014-07-03;9196142
34;2014-07-04;8320594
35;2014-07-05;1924182
36;2014-07-06;1022976
37;2014-07-07;13638665
38;2014-07-08;8082623
39;2014-07-09;8688873
40;2014-07-10;11165046
41;2014-07-11;9664393
42;2014-07-12;1636661
43;2014-07-13;849752
44;2014-07-14;11086721
45;2014-07-15;10405218
46;2014-07-16;8798597
47;2014-07-17;8608179
48;2014-07-18;9116769
49;2014-07-19;1587218
50;2014-07-20;869405
51;2014-07-21;11501454
52;2014-07-22;8736902
53;2014-07-23;7978265
54;2014-07-24;7806747
55;2014-07-25;8609345
56;2014-07-26;1483305
57;2014-07-27;902143
58;2014-07-28;10127854
59;2014-07-29;7987405
60;2014-07-30;8822755
61;2014-07-31;9016958
62;2014-08-01;9404947
63;2014-08-02;1707208
64;2014-08-03;932280
65;2014-08-04;11607246
66;2014-08-05;10700232
67;2014-08-06;9902389
68;2014-08-07;10537575
69;2014-08-08;10150991
70;2014-08-09;1777954
71;2014-08-10;929320
72;2014-08-11;13307783
73;2014-08-12;9778598
74;2014-08-13;8835501
75;2014-08-14;8949489
76;2014-08-15;8945204
77;2014-08-16;1565884
78;2014-08-17;890489
79;2014-08-18;11233360
80;2014-08-19;9104799
81;2014-08-20;10520454
82;2014-08-21;8653384
83;2014-08-22;8556455
84;2014-08-23;1526547
85;2014-08-24;845746
86;2014-08-25;11018865
87;2014-08-26;8645955
88;2014-08-27;8337890
89;2014-08-28;8388136
90;2014-08-29;9659010
91;2014-08-30;1701610
92;2014-08-31;944749
93;2014-09-01;12217710
94;2014-09-02;9808502
95;2014-09-03;9532721
96;2014-09-04;9508066
97;2014-09-05;11964830
98;2014-09-06;1921896
99;2014-09-07;1027243
100;2014-09-08;12563480
101;2014-09-09;10224148
102;2014-09-10;11324403
103;2014-09-11;9553219
104;2014-09-12;9439198
105;2014-09-13;1618900
106;2014-09-14;970821
107;2014-09-15;12500950
108;2014-09-16;9407865
109;2014-09-17;8893371
110;2014-09-18;8627891
111;2014-09-19;9543812
112;2014-09-20;1673419
113;2014-09-21;888541
114;2014-09-22;11707341
115;2014-09-23;8879988
116;2014-09-24;8536099
117;2014-09-25;9233161
118;2014-09-26;8806877
119;2014-09-27;1576388
120;2014-09-28;880502
121;2014-09-29;10879813
122;2014-09-30;10659550
123;2014-10-01;10409748
124;2014-10-02;9666271
125;2014-10-03;10479198
126;2014-10-04;1929326
127;2014-10-05;985349
128;2014-10-06;13476729
129;2014-10-07;11825267
130;2014-10-08;10360790
131;2014-10-09;9857285
132;2014-10-10;11742765
133;2014-10-11;1760635
134;2014-10-12;916314
135;2014-10-13;12042057
136;2014-10-14;9763195
137;2014-10-15;10705868
138;2014-10-16;9040033
139;2014-10-17;11053728
140;2014-10-18;1666416
141;2014-10-19;891124
142;2014-10-20;12799488
143;2014-10-21;9323977
